dt,ac6,ac10
3/2/2020 0:00,28.21,28.4
3/2/2020 0:00,28.23,28.47
3/2/2020 0:00,28.22,28.44
3/2/2020 0:00,28.2,28.37
3/2/2020 0:00,28.25,28.48
3/2/2020 0:00,28.24,28.41
3/2/2020 0:01,28.26,28.46
3/2/2020 0:01,28.36,28.56
3/2/2020 0:01,28.28,28.46
3/2/2020 0:01,28.27,28.42
3/2/2020 0:01,28.21,28.43
3/2/2020 0:01,28.21,28.41
3/2/2020 0:02,28.21,28.44
3/2/2020 0:02,28.32,28.55
3/2/2020 0:02,28.28,28.5
3/2/2020 0:02,28.23,28.46
3/2/2020 0:02,28.31,28.53
3/2/2020 0:02,28.27,28.48
3/2/2020 0:03,28.33,28.58
3/2/2020 0:03,28.26,28.43
3/2/2020 0:03,28.2,28.41
3/2/2020 0:03,28.28,28.45
3/2/2020 0:03,28.23,28.44
3/2/2020 0:03,28.23,28.43
3/2/2020 0:04,28.27,28.5
3/2/2020 0:04,28.26,28.44
3/2/2020 0:04,28.29,28.48
3/2/2020 0:04,28.29,28.49
3/2/2020 0:04,28.29,28.46
3/2/2020 0:04,28.28,28.54
3/2/2020 0:05,28.26,28.44
3/2/2020 0:05,28.24,28.45
3/2/2020 0:05,28.38,28.61
3/2/2020 0:05,28.22,28.4
3/2/2020 0:05,28.21,28.4
3/2/2020 0:05,28.3,28.5
3/2/2020 0:06,28.36,28.57
3/2/2020 0:06,28.37,28.56
3/2/2020 0:06,28.25,28.51
3/2/2020 0:06,28.36,28.58
3/2/2020 0:06,28.31,28.51
3/2/2020 0:06,28.25,28.41
3/2/2020 0:07,28.2,28.38
3/2/2020 0:07,28.23,28.39
3/2/2020 0:07,28.29,28.43
3/2/2020 0:07,28.25,28.42
3/2/2020 0:07,28.29,28.43
3/2/2020 0:07,28.38,28.54
3/2/2020 0:08,28.22,28.36
3/2/2020 0:08,28.24,28.39
3/2/2020 0:08,28.22,28.4
3/2/2020 0:08,28.25,28.41
3/2/2020 0:08,28.27,28.45
3/2/2020 0:08,28.18,28.34
3/2/2020 0:09,28.21,28.4
3/2/2020 0:09,28.3,28.47
3/2/2020 0:09,28.25,28.41
3/2/2020 0:09,28.21,28.35
3/2/2020 0:09,28.34,28.51
3/2/2020 0:09,28.28,28.45
3/2/2020 0:10,28.25,28.41
3/2/2020 0:10,28.24,28.44
3/2/2020 0:10,28.22,28.4
3/2/2020 0:10,28.33,28.48
3/2/2020 0:10,28.25,28.48
3/2/2020 0:10,28.22,28.45
3/2/2020 0:11,28.35,28.52
3/2/2020 0:11,28.26,28.5
3/2/2020 0:11,28.18,28.43
3/2/2020 0:11,28.29,28.48
3/2/2020 0:11,28.23,28.42
3/2/2020 0:11,28.1,28.3
3/2/2020 0:12,28.26,28.45
3/2/2020 0:12,28.2,28.43
3/2/2020 0:12,28.19,28.39
3/2/2020 0:12,28.18,28.39
3/2/2020 0:12,28.13,28.29
3/2/2020 0:12,28.11,28.32
3/2/2020 0:13,28.25,28.53
3/2/2020 0:13,28.2,28.47
3/2/2020 0:13,28.25,28.46
3/2/2020 0:13,28.14,28.38
3/2/2020 0:13,28.08,28.34
3/2/2020 0:13,28.18,28.42
3/2/2020 0:14,28.2,28.44
3/2/2020 0:14,28.19,28.42
3/2/2020 0:14,28.28,28.53
3/2/2020 0:14,28.24,28.48
3/2/2020 0:14,28.15,28.42
3/2/2020 0:14,28.29,28.5
3/2/2020 0:15,28.22,28.4
3/2/2020 0:15,28.35,28.55
3/2/2020 0:15,28.21,28.38
3/2/2020 0:15,28.25,28.46
3/2/2020 0:15,28.26,28.5
3/2/2020 0:15,28.23,28.42
3/2/2020 0:16,28.22,28.43
3/2/2020 0:16,28.21,28.44
3/2/2020 0:16,28.2,28.45
3/2/2020 0:16,28.23,28.42
3/2/2020 0:16,28.31,28.51
3/2/2020 0:16,28.35,28.56
3/2/2020 0:17,28.31,28.43
3/2/2020 0:17,28.24,28.4
3/2/2020 0:17,28.25,28.43
3/2/2020 0:17,28.27,28.46
3/2/2020 0:17,28.23,28.41
3/2/2020 0:17,28.22,28.43
3/2/2020 0:18,28.23,28.43
3/2/2020 0:18,28.39,28.58
3/2/2020 0:18,28.17,28.39
3/2/2020 0:18,28.21,28.43
3/2/2020 0:18,28.2,28.42
3/2/2020 0:18,28.23,28.44
3/2/2020 0:19,28.24,28.44
3/2/2020 0:19,28.2,28.4
3/2/2020 0:19,28.09,28.27
3/2/2020 0:19,28.21,28.41
3/2/2020 0:19,28.15,28.34
3/2/2020 0:19,28.16,28.35
3/2/2020 0:20,28.27,28.47
3/2/2020 0:20,28.32,28.51
3/2/2020 0:20,28.21,28.41
3/2/2020 0:20,28.3,28.46
3/2/2020 0:20,28.15,28.36
3/2/2020 0:20,28.21,28.42
3/2/2020 0:21,28.13,28.36
3/2/2020 0:21,28.29,28.46
3/2/2020 0:21,28.21,28.43
3/2/2020 0:21,28.24,28.46
3/2/2020 0:21,28.3,28.49
3/2/2020 0:21,28.19,28.38
3/2/2020 0:22,28.23,28.41
3/2/2020 0:22,28.34,28.55
3/2/2020 0:22,28.21,28.45
3/2/2020 0:22,28.2,28.4
3/2/2020 0:22,28.17,28.4
3/2/2020 0:22,28.14,28.37
3/2/2020 0:23,28.17,28.34
3/2/2020 0:23,28.16,28.4
3/2/2020 0:23,28.22,28.41
3/2/2020 0:23,28.19,28.38
3/2/2020 0:23,28.2,28.37
3/2/2020 0:23,28.27,28.5
3/2/2020 0:24,28.28,28.48
3/2/2020 0:24,28.18,28.38
3/2/2020 0:24,28.26,28.45
3/2/2020 0:24,28.22,28.44
3/2/2020 0:24,28.2,28.43
3/2/2020 0:24,28.25,28.43
3/2/2020 0:25,28.19,28.37
3/2/2020 0:25,28.21,28.4
3/2/2020 0:25,28.16,28.37
3/2/2020 0:25,28.19,28.39
3/2/2020 0:25,28.14,28.33
3/2/2020 0:25,28.15,28.36
3/2/2020 0:26,28.11,28.28
3/2/2020 0:26,28.2,28.41
3/2/2020 0:26,28.23,28.48
3/2/2020 0:26,28.17,28.39
3/2/2020 0:26,28.19,28.42
3/2/2020 0:26,28.14,28.4
3/2/2020 0:27,28.03,28.24
3/2/2020 0:27,28.14,28.39
3/2/2020 0:27,28.15,28.39
3/2/2020 0:27,28.1,28.28
3/2/2020 0:27,28.09,28.31
3/2/2020 0:27,28.1,28.31
3/2/2020 0:28,28.17,28.35
3/2/2020 0:28,28.11,28.31
3/2/2020 0:28,28.19,28.42
3/2/2020 0:28,28.1,28.27
3/2/2020 0:28,28.08,28.28
3/2/2020 0:28,28.23,28.43
3/2/2020 0:29,28.09,28.28
3/2/2020 0:29,28.15,28.31
3/2/2020 0:29,28.09,28.21
3/2/2020 0:29,28.1,28.24
3/2/2020 0:29,28.14,28.34
3/2/2020 0:29,28.07,28.27
3/2/2020 0:30,28.14,28.35
3/2/2020 0:30,28.1,28.36
3/2/2020 0:30,28.11,28.27
3/2/2020 0:30,28.08,28.32
3/2/2020 0:30,28.11,28.31
3/2/2020 0:30,28.17,28.33
3/2/2020 0:31,28.26,28.47
3/2/2020 0:31,28.13,28.28
3/2/2020 0:31,28.13,28.33
3/2/2020 0:31,28.14,28.34
3/2/2020 0:31,28.13,28.34
3/2/2020 0:31,28.13,28.3
3/2/2020 0:32,28.05,28.23
3/2/2020 0:32,28.09,28.31
3/2/2020 0:32,28.07,28.25
3/2/2020 0:32,28.07,28.26
3/2/2020 0:32,28.03,28.25
3/2/2020 0:32,28.05,28.27
3/2/2020 0:33,28.08,28.28
3/2/2020 0:33,28.07,28.25
3/2/2020 0:33,28.06,28.23
3/2/2020 0:33,28.08,28.26
3/2/2020 0:33,28.24,28.47
3/2/2020 0:33,28.15,28.35
3/2/2020 0:34,28.08,28.28
3/2/2020 0:34,28.11,28.3
3/2/2020 0:34,28.08,28.29
3/2/2020 0:34,28.12,28.32
3/2/2020 0:34,28.07,28.26
3/2/2020 0:34,28.14,28.34
3/2/2020 0:35,28.07,28.27
3/2/2020 0:35,28.11,28.3
3/2/2020 0:35,28.1,28.24
3/2/2020 0:35,28.18,28.34
3/2/2020 0:35,28.09,28.3
3/2/2020 0:35,28.03,28.2
3/2/2020 0:36,27.98,28.18
3/2/2020 0:36,28.07,28.32
3/2/2020 0:36,28.07,28.24
3/2/2020 0:36,28.04,28.23
3/2/2020 0:36,28.04,28.21
3/2/2020 0:36,28.13,28.3
3/2/2020 0:37,28.12,28.28
3/2/2020 0:37,28.2,28.38
3/2/2020 0:37,28.12,28.25
3/2/2020 0:37,28.16,28.31
3/2/2020 0:37,28.13,28.31
3/2/2020 0:37,28.02,28.18
3/2/2020 0:38,28,28.16
3/2/2020 0:38,28.08,28.23
3/2/2020 0:38,28.09,28.23
3/2/2020 0:38,28.14,28.29
3/2/2020 0:38,28.03,28.18
3/2/2020 0:39,28.07,28.18
3/2/2020 0:39,28.03,28.21
3/2/2020 0:39,28.06,28.24
3/2/2020 0:39,28.11,28.26
3/2/2020 0:39,28.21,28.4
3/2/2020 0:39,28.09,28.28
3/2/2020 0:40,28.07,28.19
3/2/2020 0:40,28.06,28.2
3/2/2020 0:40,27.98,28.12
3/2/2020 0:40,28.08,28.21
3/2/2020 0:40,28.04,28.19
3/2/2020 0:40,27.99,28.19
3/2/2020 0:41,28.04,28.26
3/2/2020 0:41,28.02,28.18
3/2/2020 0:41,28.03,28.24
3/2/2020 0:41,27.99,28.16
3/2/2020 0:41,28.02,28.23
3/2/2020 0:41,27.97,28.16
3/2/2020 0:42,28.01,28.17
3/2/2020 0:42,28.04,28.24
3/2/2020 0:42,28.09,28.29
3/2/2020 0:42,28.07,28.24
3/2/2020 0:42,28.04,28.18
3/2/2020 0:42,28.14,28.34
3/2/2020 0:43,28.11,28.28
3/2/2020 0:43,27.96,28.17
3/2/2020 0:43,28.1,28.32
3/2/2020 0:43,28.15,28.32
3/2/2020 0:43,28.07,28.24
3/2/2020 0:43,28.05,28.27
3/2/2020 0:44,28.08,28.27
3/2/2020 0:44,27.98,28.19
3/2/2020 0:44,28.04,28.26
3/2/2020 0:44,28.03,28.19
3/2/2020 0:44,28,28.18
3/2/2020 0:44,27.99,28.18
3/2/2020 0:45,28.02,28.25
3/2/2020 0:45,28,28.22
3/2/2020 0:45,27.97,28.21
3/2/2020 0:45,28,28.25
3/2/2020 0:45,27.99,28.18
3/2/2020 0:45,28.04,28.2
3/2/2020 0:46,28.01,28.17
3/2/2020 0:46,28.07,28.26
3/2/2020 0:46,28.04,28.22
3/2/2020 0:46,28.09,28.31
3/2/2020 0:46,27.93,28.07
3/2/2020 0:46,27.95,28.15
3/2/2020 0:47,27.94,28.11
3/2/2020 0:47,28,28.12
3/2/2020 0:47,27.98,28.16
3/2/2020 0:47,27.93,28.12
3/2/2020 0:47,27.96,28.14
3/2/2020 0:47,28.05,28.18
3/2/2020 0:48,27.99,28.16
3/2/2020 0:48,28.02,28.18
3/2/2020 0:48,27.85,28.01
3/2/2020 0:48,27.92,28.07
3/2/2020 0:48,27.9,28.09
3/2/2020 0:48,27.92,28.07
3/2/2020 0:49,27.96,28.11
3/2/2020 0:49,27.97,28.1
3/2/2020 0:49,28.04,28.19
3/2/2020 0:49,27.96,28.13
3/2/2020 0:49,27.98,28.15
3/2/2020 0:49,27.96,28.13
3/2/2020 0:50,27.89,28.07
3/2/2020 0:50,27.9,28.11
3/2/2020 0:50,27.82,27.97
3/2/2020 0:50,27.93,28.12
3/2/2020 0:50,27.97,28.15
3/2/2020 0:50,27.96,28.16
3/2/2020 0:51,27.96,28.1
3/2/2020 0:51,28,28.15
3/2/2020 0:51,27.85,28.04
3/2/2020 0:51,27.96,28.14
3/2/2020 0:51,27.9,28.06
3/2/2020 0:51,28.02,28.16
3/2/2020 0:52,27.97,28.14
3/2/2020 0:52,27.96,28.19
3/2/2020 0:52,27.98,28.19
3/2/2020 0:52,27.93,28.15
3/2/2020 0:52,27.85,28.08
3/2/2020 0:52,27.94,28.15
3/2/2020 0:53,27.95,28.17
3/2/2020 0:53,27.9,28.09
3/2/2020 0:53,27.83,28.04
3/2/2020 0:53,27.83,28.05
3/2/2020 0:53,27.87,28.11
3/2/2020 0:53,27.87,28.11
3/2/2020 0:54,27.93,28.19
3/2/2020 0:54,27.93,28.12
3/2/2020 0:54,27.87,28.08
3/2/2020 0:54,28.02,28.22
3/2/2020 0:54,27.83,28.02
3/2/2020 0:54,27.88,28.06
3/2/2020 0:55,27.94,28.14
